asset_id,name_at_selection,year,expected_sessions,price_sessions,feature_ready_sessions,usable_label_sessions,sessions_with_news,news_items,news_sources,first_price_date,last_price_date
AAPL,Apple,2019,252,252,232,250,61,41,kaggle_apple_archive_v1,2019-01-02,2019-12-31
AAPL,Apple,2020,253,253,253,253,201,675,fnspid_All_external;kaggle_apple_archive_v1,2020-01-02,2020-12-31
AAPL,Apple,2021,252,252,252,252,252,6968,kaggle_apple_archive_v1,2021-01-04,2021-12-31
AAPL,Apple,2022,251,251,251,251,251,10941,fnspid_nasdaq_exteral_data;kaggle_apple_archive_v1,2022-01-03,2022-12-30
AAPL,Apple,2023,250,250,250,248,250,11595,fnspid_nasdaq_exteral_data;kaggle_apple_archive_v1;kaggle_polygon_sample_v1,2023-01-03,2023-12-29
AAPL,Apple,2024,252,252,252,250,235,5047,kaggle_apple_archive_v1,2024-01-02,2024-12-31
AAPL,Apple,2025,250,250,250,248,192,1895,defeatbeta_yahoo,2025-01-02,2025-12-31
AAPL,Apple,2026,174,174,174,172,174,3171,defeatbeta_yahoo,2026-01-02,2026-09-11
AXP,American Express,2019,252,252,232,250,250,582,fnspid_All_external,2019-01-02,2019-12-31
AXP,American Express,2020,253,253,253,253,115,385,fnspid_All_external;kaggle_apple_archive_v1,2020-01-02,2020-12-31
AXP,American Express,2021,252,252,252,252,132,65,kaggle_apple_archive_v1,2021-01-04,2021-12-31
AXP,American Express,2022,251,251,251,251,201,95,kaggle_apple_archive_v1,2022-01-03,2022-12-30
AXP,American Express,2023,250,250,250,248,235,141,fnspid_nasdaq_exteral_data;kaggle_apple_archive_v1;kaggle_polygon_sample_v1,2023-01-03,2023-12-29
AXP,American Express,2024,252,252,252,250,168,89,kaggle_apple_archive_v1,2024-01-02,2024-12-31
AXP,American Express,2025,250,250,250,248,182,554,defeatbeta_yahoo,2025-01-02,2025-12-31
AXP,American Express,2026,174,174,174,172,174,847,defeatbeta_yahoo,2026-01-02,2026-09-11
