case,topology,weight,SABRE,LightSABRE,Qwen,Gemma,Muse,Qwen_minus_SABRE,Qwen_minus_LightSABRE,Gemma_minus_SABRE,Gemma_minus_LightSABRE,Muse_minus_SABRE,Muse_minus_LightSABRE
4gt13_92_q20,Q20,0.2,0,0,1,2,2,1,1,2,2,2,2
4gt13_92_willow,Willow,0.4,15,12,13,12,13,-2,1,-3,0,-2,1
4gt13_92_heron_fez,Heron,0.4,15,15,15,13,19,0,0,-2,-2,4,4
4mod5-v1_22_q20,Q20,0.2,0,0,2,0,1,2,2,0,0,1,1
4mod5-v1_22_willow,Willow,0.4,5,4,3,3,4,-2,-1,-2,-1,-1,0
4mod5-v1_22_heron_fez,Heron,0.4,4,4,6,3,5,2,2,-1,-1,1,1
9symml_195_q20,Q20,0.2,5756,5283,3126,3137,3691,-2630,-2157,-2619,-2146,-2065,-1592
9symml_195_willow,Willow,0.4,8907,8686,7517,7485,8606,-1390,-1169,-1422,-1201,-301,-80
9symml_195_heron_fez,Heron,0.4,11762,10993,10069,9678,10638,-1693,-924,-2084,-1315,-1124,-355
adr4_197_q20,Q20,0.2,538,334,312,328,380,-226,-22,-210,-6,-158,46
adr4_197_willow,Willow,0.4,901,836,731,731,841,-170,-105,-170,-105,-60,5
adr4_197_heron_fez,Heron,0.4,1239,1050,980,938,1061,-259,-70,-301,-112,-178,11
alu-v0_27_q20,Q20,0.2,1,1,2,2,3,1,1,1,1,2,2
alu-v0_27_willow,Willow,0.4,7,6,7,7,8,0,1,0,1,1,2
alu-v0_27_heron_fez,Heron,0.4,12,8,8,10,10,-4,0,-2,2,-2,2
co14_215_q20,Q20,0.2,2994,2548,2131,2217,2428,-863,-417,-777,-331,-566,-120
co14_215_willow,Willow,0.4,4713,4521,4080,4123,4523,-633,-441,-590,-398,-190,2
co14_215_heron_fez,Heron,0.4,5971,5268,5197,5315,5242,-774,-71,-656,47,-729,-26
cycle10_2_110_q20,Q20,0.2,874,747,491,546,705,-383,-256,-328,-201,-169,-42
cycle10_2_110_willow,Willow,0.4,1564,1457,1277,1254,1459,-287,-180,-310,-203,-105,2
cycle10_2_110_heron_fez,Heron,0.4,1780,1703,1735,1732,1723,-45,32,-48,29,-57,20
decod24-v2_43_q20,Q20,0.2,0,0,0,0,0,0,0,0,0,0,0
decod24-v2_43_willow,Willow,0.4,12,11,9,9,12,-3,-2,-3,-2,0,1
decod24-v2_43_heron_fez,Heron,0.4,12,11,12,10,12,0,1,-2,-1,0,1
ising_model_10_q20,Q20,0.2,0,0,7,0,4,7,7,0,0,4,4
ising_model_10_willow,Willow,0.4,0,0,15,0,10,15,15,0,0,10,10
ising_model_10_heron_fez,Heron,0.4,0,0,33,0,21,33,33,0,0,21,21
ising_model_13_q20,Q20,0.2,0,0,7,0,6,7,7,0,0,6,6
ising_model_13_willow,Willow,0.4,9,0,18,0,15,9,18,-9,0,6,15
ising_model_13_heron_fez,Heron,0.4,9,0,53,0,36,44,53,-9,0,27,36
ising_model_16_q20,Q20,0.2,0,0,14,0,11,14,14,0,0,11,11
ising_model_16_willow,Willow,0.4,5,0,30,0,23,25,30,-5,0,18,23
ising_model_16_heron_fez,Heron,0.4,0,0,57,0,61,57,57,0,0,61,61
misex1_241_q20,Q20,0.2,507,352,373,334,371,-134,21,-173,-18,-136,19
misex1_241_willow,Willow,0.4,1273,1129,988,971,1155,-285,-141,-302,-158,-118,26
misex1_241_heron_fez,Heron,0.4,1515,1346,1411,1335,1367,-104,65,-180,-11,-148,21
mod5mils_65_q20,Q20,0.2,0,1,3,1,1,3,2,1,0,1,0
mod5mils_65_willow,Willow,0.4,7,6,7,6,7,0,1,-1,0,0,1
mod5mils_65_heron_fez,Heron,0.4,9,7,8,7,12,-1,1,-2,0,3,5
qft_10_q20,Q20,0.2,18,12,16,17,13,-2,4,-1,5,-5,1
qft_10_willow,Willow,0.4,31,19,29,28,24,-2,10,-3,9,-7,5
qft_10_heron_fez,Heron,0.4,46,32,54,42,51,8,22,-4,10,5,19
qft_16_q20,Q20,0.2,62,44,55,57,49,-7,11,-5,13,-13,5
