case,swaps,added_cnots
4gt13_92_q20,3,9
4gt13_92_willow,12,36
4gt13_92_heron_fez,16,48
4mod5-v1_22_q20,2,6
4mod5-v1_22_willow,5,15
4mod5-v1_22_heron_fez,8,24
9symml_195_q20,3504,10512
9symml_195_willow,7562,22686
9symml_195_heron_fez,10081,30243
adr4_197_q20,312,936
adr4_197_willow,723,2169
adr4_197_heron_fez,983,2949
alu-v0_27_q20,3,9
alu-v0_27_willow,7,21
alu-v0_27_heron_fez,10,30
co14_215_q20,2217,6651
co14_215_willow,4089,12267
co14_215_heron_fez,5199,15597
cycle10_2_110_q20,531,1593
cycle10_2_110_willow,1301,3903
cycle10_2_110_heron_fez,1779,5337
decod24-v2_43_q20,4,12
decod24-v2_43_willow,9,27
decod24-v2_43_heron_fez,12,36
ising_model_10_q20,0,0
ising_model_10_willow,2,6
ising_model_10_heron_fez,7,21
ising_model_13_q20,2,6
ising_model_13_willow,2,6
ising_model_13_heron_fez,7,21
ising_model_16_q20,2,6
ising_model_16_willow,2,6
ising_model_16_heron_fez,7,21
misex1_241_q20,289,867
misex1_241_willow,995,2985
misex1_241_heron_fez,1372,4116
mod5mils_65_q20,3,9
mod5mils_65_willow,7,21
mod5mils_65_heron_fez,11,33
qft_10_q20,17,51
qft_10_willow,25,75
qft_10_heron_fez,48,144
qft_16_q20,54,162
qft_16_willow,79,237
qft_16_heron_fez,148,444
radd_250_q20,310,930
radd_250_willow,677,2031
radd_250_heron_fez,912,2736
rd73_252_q20,505,1515
rd73_252_willow,1115,3345
rd73_252_heron_fez,1528,4584
rd84_142_q20,39,117
rd84_142_willow,77,231
rd84_142_heron_fez,117,351
rd84_253_q20,1452,4356
rd84_253_willow,2982,8946
rd84_253_heron_fez,4077,12231
sqn_258_q20,903,2709
sqn_258_willow,2147,6441
sqn_258_heron_fez,2901,8703
square_root_7_q20,402,1206
square_root_7_willow,1596,4788
square_root_7_heron_fez,2219,6657
sym6_145_q20,263,789
sym6_145_willow,740,2220
sym6_145_heron_fez,978,2934
sym9_193_q20,3824,11472
sym9_193_willow,7535,22605
sym9_193_heron_fez,10044,30132
z4_268_q20,281,843
z4_268_willow,636,1908
z4_268_heron_fez,845,2535
