case,topology,weight,SABRE,LightSABRE,Qwen,Gemma,Muse,Qwen_minus_SABRE,Qwen_minus_LightSABRE,Gemma_minus_SABRE,Gemma_minus_LightSABRE,Muse_minus_SABRE,Muse_minus_LightSABRE
4gt13_92_q20,Q20,0.2,0,0,2,2,2,2,2,2,2,2,2
4gt13_92_willow,Willow,0.4,15,12,12,12,13,-3,0,-3,0,-2,1
4gt13_92_heron_fez,Heron,0.4,15,15,17,18,19,2,2,3,3,4,4
4mod5-v1_22_q20,Q20,0.2,0,0,1,1,1,1,1,1,1,1,1
4mod5-v1_22_willow,Willow,0.4,5,4,5,4,4,0,1,-1,0,-1,0
4mod5-v1_22_heron_fez,Heron,0.4,4,4,7,5,5,3,3,1,1,1,1
9symml_195_q20,Q20,0.2,5756,5283,3598,3675,3691,-2158,-1685,-2081,-1608,-2065,-1592
9symml_195_willow,Willow,0.4,8907,8686,7503,7423,8573,-1404,-1183,-1484,-1263,-334,-113
9symml_195_heron_fez,Heron,0.4,11762,10993,10071,10448,10696,-1691,-922,-1314,-545,-1066,-297
adr4_197_q20,Q20,0.2,538,334,310,327,380,-228,-24,-211,-7,-158,46
adr4_197_willow,Willow,0.4,901,836,721,721,833,-180,-115,-180,-115,-68,-3
adr4_197_heron_fez,Heron,0.4,1239,1050,964,1022,1061,-275,-86,-217,-28,-178,11
alu-v0_27_q20,Q20,0.2,1,1,2,2,3,1,1,1,1,2,2
alu-v0_27_willow,Willow,0.4,7,6,8,8,8,1,2,1,2,1,2
alu-v0_27_heron_fez,Heron,0.4,12,8,7,10,10,-5,-1,-2,2,-2,2
co14_215_q20,Q20,0.2,2994,2548,1972,2111,2438,-1022,-576,-883,-437,-556,-110
co14_215_willow,Willow,0.4,4713,4521,4107,4070,4468,-606,-414,-643,-451,-245,-53
co14_215_heron_fez,Heron,0.4,5971,5268,5367,5355,5241,-604,99,-616,87,-730,-27
cycle10_2_110_q20,Q20,0.2,874,747,525,510,705,-349,-222,-364,-237,-169,-42
cycle10_2_110_willow,Willow,0.4,1564,1457,1294,1282,1459,-270,-163,-282,-175,-105,2
cycle10_2_110_heron_fez,Heron,0.4,1780,1703,1747,1784,1724,-33,44,4,81,-56,21
decod24-v2_43_q20,Q20,0.2,0,0,0,0,0,0,0,0,0,0,0
decod24-v2_43_willow,Willow,0.4,12,11,9,9,12,-3,-2,-3,-2,0,1
decod24-v2_43_heron_fez,Heron,0.4,12,11,11,10,12,-1,0,-2,-1,0,1
ising_model_10_q20,Q20,0.2,0,0,6,6,4,6,6,6,6,4,4
ising_model_10_willow,Willow,0.4,0,0,14,12,10,14,14,12,12,10,10
ising_model_10_heron_fez,Heron,0.4,0,0,45,13,21,45,45,13,13,21,21
ising_model_13_q20,Q20,0.2,0,0,9,6,6,9,9,6,6,6,6
ising_model_13_willow,Willow,0.4,9,0,18,18,15,9,18,9,18,6,15
ising_model_13_heron_fez,Heron,0.4,9,0,48,43,36,39,48,34,43,27,36
ising_model_16_q20,Q20,0.2,0,0,15,11,11,15,15,11,11,11,11
ising_model_16_willow,Willow,0.4,5,0,37,21,28,32,37,16,21,23,28
ising_model_16_heron_fez,Heron,0.4,0,0,65,65,45,65,65,65,65,45,45
misex1_241_q20,Q20,0.2,507,352,366,372,371,-141,14,-135,20,-136,19
misex1_241_willow,Willow,0.4,1273,1129,978,966,1152,-295,-151,-307,-163,-121,23
misex1_241_heron_fez,Heron,0.4,1515,1346,1436,1384,1367,-79,90,-131,38,-148,21
mod5mils_65_q20,Q20,0.2,0,1,4,1,1,4,3,1,0,1,0
mod5mils_65_willow,Willow,0.4,7,6,8,6,7,1,2,-1,0,0,1
mod5mils_65_heron_fez,Heron,0.4,9,7,9,10,12,0,2,1,3,3,5
qft_10_q20,Q20,0.2,18,12,19,14,13,1,7,-4,2,-5,1
qft_10_willow,Willow,0.4,31,19,33,24,23,2,14,-7,5,-8,4
qft_10_heron_fez,Heron,0.4,46,32,53,50,51,7,21,4,18,5,19
qft_16_q20,Q20,0.2,62,44,58,55,49,-4,14,-7,11,-13,5
qft_16_willow,Willow,0.4,87,65,93,79,72,6,28,-8,14,-15,7
qft_16_heron_fez,Heron,0.4,185,98,148,160,167,-37,50,-25,62,-18,69
radd_250_q20,Q20,0.2,425,344,259,312,371,-166,-85,-113,-32,-54,27
radd_250_willow,Willow,0.4,851,783,669,659,787,-182,-114,-192,-124,-64,4
radd_250_heron_fez,Heron,0.4,1069,934,884,923,955,-185,-50,-146,-11,-114,21
rd73_252_q20,Q20,0.2,711,660,475,477,608,-236,-185,-234,-183,-103,-52
rd73_252_willow,Willow,0.4,1327,1282,1108,1080,1284,-219,-174,-247,-202,-43,2
rd73_252_heron_fez,Heron,0.4,1785,1580,1462,1522,1597,-323,-118,-263,-58,-188,17
rd84_142_q20,Q20,0.2,35,34,44,34,42,9,10,-1,0,7,8
rd84_142_willow,Willow,0.4,93,70,80,77,88,-13,10,-16,7,-5,18
rd84_142_heron_fez,Heron,0.4,103,93,119,112,135,16,26,9,19,32,42
rd84_253_q20,Q20,0.2,2049,1833,1392,1379,1737,-657,-441,-670,-454,-312,-96
rd84_253_willow,Willow,0.4,3517,3381,2955,2901,3389,-562,-426,-616,-480,-128,8
rd84_253_heron_fez,Heron,0.4,4733,4326,3967,4187,4261,-766,-359,-546,-139,-472,-65
sqn_258_q20,Q20,0.2,1448,1215,958,899,1105,-490,-257,-549,-316,-343,-110
sqn_258_willow,Willow,0.4,2512,2441,2109,2072,2448,-403,-332,-440,-369,-64,7
sqn_258_heron_fez,Heron,0.4,3458,3124,2797,2908,2993,-661,-327,-550,-216,-465,-131
square_root_7_q20,Q20,0.2,866,695,556,572,694,-310,-139,-294,-123,-172,-1
square_root_7_willow,Willow,0.4,1882,1779,1591,1557,1813,-291,-188,-325,-222,-69,34
square_root_7_heron_fez,Heron,0.4,2632,2322,2381,2244,2341,-251,59,-388,-78,-291,19
sym6_145_q20,Q20,0.2,424,351,204,240,342,-220,-147,-184,-111,-82,-9
sym6_145_willow,Willow,0.4,938,896,765,745,897,-173,-131,-193,-151,-41,1
sym6_145_heron_fez,Heron,0.4,1057,1024,930,960,1033,-127,-94,-97,-64,-24,9
sym9_193_q20,Q20,0.2,5551,5283,3598,3754,3691,-1953,-1685,-1797,-1529,-1860,-1592
sym9_193_willow,Willow,0.4,8907,8686,7503,7446,8573,-1404,-1183,-1461,-1240,-334,-113
sym9_193_heron_fez,Heron,0.4,11762,10993,10071,10381,10696,-1691,-922,-1381,-612,-1066,-297
z4_268_q20,Q20,0.2,455,326,262,294,339,-193,-64,-161,-32,-116,13
z4_268_willow,Willow,0.4,789,732,635,642,729,-154,-97,-147,-90,-60,-3
z4_268_heron_fez,Heron,0.4,1028,896,828,868,889,-200,-68,-160,-28,-139,-7
